name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	39	28	0.0
Azorhizobium	6	genus	5369772	2	0	0.0
Azorhizobium caulinodans	7	species	5369772	11	0	0.0
Buchnera aphidicola	9	species	602805	16	2	0.0
Cellvibrio	10	genus	4576573	3	0	0.0
Cellulomonas gilvus	11	species	3526441	23	0	0.0
Methylophilus	16	genus	0	11	0	0.0
Pelobacter	18	genus	3953506	3	0	0.0
Pelobacter carbinolicus	19	species	3665893	2	0	0.0
Phenylobacterium	20	genus	4379231	7	0	0.0
Shewanella	22	genus	5140018	31	3	0.0
Shewanella putrefaciens	24	species	4749735	54	10	0.0
Myxococcales	29	order	9638245	131	0	0.0
Myxococcaceae	31	family	9636120	13	0	0.0
Myxococcus	32	genus	9487953	30	0	0.0
Myxococcus xanthus	34	species	9139763	568	72	0.0
Myxococcus macrosporus	35	species	8973512	261	70	0.0
Archangiaceae	39	family	10085598	14	0	0.0
Stigmatella aurantiaca	41	species	10260756	10	0	0.0
Cystobacter	42	genus	0	2	0	0.0
Cystobacter fuscus	43	species	12349744	291	173	0.0
Melittangium	44	genus	9910441	2	0	0.0
Archangium	47	genus	0	5	0	0.0
Archangium gephyra	48	species	12489432	337	218	0.0
Polyangiaceae	49	family	13907952	9	0	0.0
Chondromyces crocatus	52	species	11388132	235	175	0.0
Sorangium cellulosum	56	species	13907952	1033	507	0.0
Vitreoscilla	59	genus	0	30	0	0.0
Vitreoscilla filiformis	63	species	3787551	258	156	0.0
Lysobacter	68	genus	0	36	0	0.0
Lysobacter enzymogenes	69	species	12227539	381	198	0.0
Simonsiella	71	genus	2469862	2	0	0.0
Simonsiella muelleri	72	species	2469862	18	0	0.0
Caulobacter	75	genus	4238499	16	0	0.0
Hyphomicrobium	81	genus	3700497	8	0	0.0
Hyphomonas	85	genus	3705021	4	0	0.0
Leptothrix	88	genus	4909403	34	0	0.0
Stella	93	genus	0	6	0	0.0
Stella humosa	94	species	5832650	258	149	0.0
Gallionella	96	genus	3162471	4	0	0.0
Ancylobacter	99	genus	0	3	0	0.0
Runella	105	genus	0	3	0	0.0
Spirosoma	107	genus	0	6	0	0.0
Planctomycetales	112	order	5733343	17	0	0.0
Gemmata	113	genus	0	2	0	0.0
Gemmata obscuriglobus	114	species	17998094	256	151	0.0
Planctomyces	118	genus	0	6	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Gimesia maris	122	species	15634937	76	23	0.0
Planctomycetaceae	126	family	5733343	3	0	0.0
Isosphaera pallida	128	species	5529304	1	0	0.0
Methylocystis	133	genus	0	11	0	0.0
Methylocystis parvus	134	species	4529043	87	54	0.0
Spirochaetales	136	order	1876294	34	0	0.0
Spirochaetaceae	137	family	2749897	11	0	0.0
Borrelia	138	genus	1176628	3	0	0.0
Borreliella burgdorferi	139	species	1329613	9	1	0.0
Borrelia turicatae	142	species	1165365	8	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema	157	genus	2490077	20	1	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	56	2	0.0
Treponema pallidum	160	species	1139017	4	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	5	0	0.0
Treponema phagedenis	162	species	17151030	393	37	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Leptospiraceae	170	family	5274184	3	0	0.0
Leptospira	171	genus	5319704	6	1	0.0
Leptospira interrogans	173	species	6128534	47	18	0.0
Leptospira borgpetersenii	174	species	4736323	6	0	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	1	0	0.0
Leptospirillum	179	genus	2432093	1	0	0.0
Aquaspirillum	187	genus	0	6	0	0.0
Azospirillum	191	genus	7223069	74	6	0.0
Azospirillum brasilense	192	species	50779208	1596	267	0.0
Azospirillum lipoferum	193	species	7223069	17	0	0.0
Campylobacter	194	genus	2403822	28	22	0.0
Campylobacter coli	195	species	1776238	43	11	0.0
Campylobacter fetus	196	species	2065164	38	29	0.0
Campylobacter jejuni	197	species	3124996	85	21	0.0
Campylobacter hyointestinalis	198	species	1755214	25	0	0.0
Campylobacter concisus	199	species	2099413	407	223	0.0
Campylobacter curvus	200	species	1971270	922	0	0.0
Campylobacter lari	201	species	1565468	45	13	0.0
Campylobacter showae	204	species	2160580	6330	6103	0.0
Campylobacter sputorum	206	species	1746988	28	4	0.0
Helicobacter	209	genus	1715890	2	0	0.0
Helicobacter pylori	210	species	1700965	89	42	0.0
Helicobacter cinaedi	213	species	2170766	41	19	0.0
Helicobacter mustelae	217	species	1578097	28	0	0.0
Achromobacter	222	genus	7359146	168	1	0.0
Alteromonas	226	genus	4609878	9	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	10	5	0.0
Brucella	234	genus	4039663	72	40	0.0
Brucella abortus	235	species	3283421	3	0	0.0
Flavobacterium	237	genus	3461015	21	5	0.0
Elizabethkingia meningoseptica	238	species	15625789	132	31	0.0
Chryseobacterium balustinum	246	species	4974086	43	15	0.0
Empedobacter brevis	247	species	7431270	47	6	0.0
Chryseobacterium gleum	250	species	9292597	77	37	0.0
Chryseobacterium indologenes	253	species	35240523	188	44	0.0
Chryseobacterium indoltheticum	254	species	8445673	90	43	0.0
Sphingobacterium thalpophilum	259	species	5962893	32	24	0.0
Francisella	262	genus	3767258	8	0	0.0
Francisella tularensis	263	species	3018743	41	20	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	6	3	0.0
Paracoccus	265	genus	5054656	20	1	0.0
Paracoccus denitrificans	266	species	5236194	166	1	0.0
Thermus	270	genus	2279019	11	2	0.0
Thermus aquaticus	271	species	2338641	4	0	0.0
Thermus thermophilus	274	species	2214494	218	43	0.0
Meiothermus ruber	277	species	3097457	8	0	0.0
Xanthobacter	279	genus	5625098	6	0	0.0
Xanthobacter autotrophicus	280	species	5625098	3	0	0.0
Comamonas	283	genus	5461687	54	0	0.0
Comamonas testosteroni	285	species	5856025	541	331	0.00145703
Pseudomonas	286	genus	9017316	1271	302	0.0
Pseudomonas aeruginosa	287	species	6798896	2989	597	0.000418323
Pseudoalteromonas atlantica	288	species	5187005	19	2	0.0
Burkholderia cepacia	292	species	13565292	552	91	0.0
Brevundimonas diminuta	293	species	3551819	123	52	0.0
Pseudomonas fluorescens	294	species	6604895	1236	327	0.0
Pseudomonas fragi	296	species	10253943	91	20	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	55	28	0.0
Pseudomonas mendocina	300	species	5293211	497	145	0.0
Pseudomonas oleovorans	301	species	4686340	247	23	0.0
Pseudomonas putida	303	species	6160317	1393	340	0.0
Ralstonia solanacearum	305	species	5757294	1664	410	0.0
Pseudomonas stutzeri	316	species	4548207	1221	296	0.0
Pseudomonas syringae	317	species	8747300	229	29	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	69	20	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	88	6	0.0
Ralstonia pickettii	329	species	5505543	207	47	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	38	9	0.0
Burkholderia glumae	337	species	6878727	327	26	0.0
Xanthomonas	338	genus	23419814	175	32	0.0
Xanthomonas campestris	339	species	7099366	110	45	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	34	3	0.0
Xanthomonas translucens	343	species	11701367	89	0	0.0
Xanthomonas citri	346	species	27676482	253	72	0.0
Xanthomonas oryzae	347	species	63225372	272	124	0.0
Azotobacter	352	genus	5311796	7	0	0.0
Azotobacter chroococcum	353	species	5192286	245	57	0.0
Azotobacter vinelandii	354	species	5351632	56	0	0.0
Rhizobiales	356	order	5410296	383	2	0.0
Agrobacterium	357	genus	6422834	41	0	0.0
Agrobacterium tumefaciens	358	species	7273300	767	94	0.0
Agrobacterium rhizogenes	359	species	5482241	94	41	0.0
Agrobacterium vitis	373	species	6320946	3	0	0.0
Bradyrhizobium	374	genus	11894480	158	25	0.0
Bradyrhizobium japonicum	375	species	9207384	168	32	0.0
Bradyrhizobium sp.	376	species	7547693	97	45	0.0
Rhizobium	379	genus	8184003	223	78	0.0
Sinorhizobium fredii	380	species	6924988	128	26	0.0
Mesorhizobium loti	381	species	7481739	2	0	0.0
Sinorhizobium meliloti	382	species	7082772	306	134	0.0
Rhizobium leguminosarum	384	species	9364981	369	109	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	191	64	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	79	26	0.0
Rhizobium phaseoli	396	species	6665454	208	22	0.0
Neorhizobium galegae	399	species	6434105	9	0	0.0
Methylococcaceae	403	family	4384317	23	0	0.0
Methylobacillus	404	genus	2971517	2	0	0.0
Methylobacillus flagellatus	405	species	2971517	5	0	0.0
Methylobacterium	407	genus	7144985	78	2	0.0
Methylorubrum extorquens	408	species	8218505	289	53	0.0
Methylococcus	413	genus	3304561	4	0	0.0
Methylococcus capsulatus	414	species	3304561	3	0	0.0
Methylomonas	416	genus	5051681	8	0	0.0
Methylosinus	425	genus	5183433	2	0	0.0
Methylosinus trichosporium	426	species	5183433	5	0	0.0
Acetobacteraceae	433	family	3826783	55	0	0.0
Acetobacter	434	genus	3590557	5	0	0.0
Acetobacter aceti	435	species	3725037	21	13	0.0
Acetobacter pasteurianus	438	species	3590557	50	11	0.0
Gluconobacter	441	genus	4181963	4	0	0.0
Gluconobacter oxydans	442	species	4181963	22	2	0.0
Legionellaceae	444	family	10525492	6	0	0.0
Legionella	445	genus	10525492	10	2	0.0
Legionella pneumophila	446	species	12363603	67	30	0.0
Legionella hackeliae	449	species	3570857	17	8	0.0
Legionella longbeachae	450	species	4149158	82	20	0.0
Tatlockia micdadei	451	species	9836958	43	7	0.0
Legionella spiritensis	452	species	6755735	22	10	0.0
Legionella israelensis	454	species	9344693	55	16	0.0
Legionella jordanis	456	species	3133723	24	16	0.0
Tatlockia	465	genus	0	3	0	0.0
Moraxellaceae	468	family	3943545	12	0	0.0
Acinetobacter	469	genus	4126830	35	6	0.0
Acinetobacter baumannii	470	species	4233127	118	32	0.0
Acinetobacter calcoaceticus	471	species	8050108	13	5	0.0
Moraxella	475	genus	1863286	3	0	0.0
Moraxella bovis	476	species	2911207	33	22	0.0
Moraxella catarrhalis	480	species	1863286	145	23	0.0
Neisseriaceae	481	family	2244925	145	3	0.0
Neisseria	482	genus	2223758	629	186	0.0
Neisseria cinerea	483	species	1832904	832	262	0.00156844
Neisseria flavescens	484	species	2231882	1280	454	0.0
Neisseria gonorrhoeae	485	species	2216159	1398	310	0.0
Neisseria lactamica	486	species	2220606	2346	233	0.00129217
Neisseria meningitidis	487	species	2222288	3903	682	0.0
Neisseria mucosa	488	species	2783943	6065	3892	0
Neisseria polysaccharea	489	species	2024930	785	148	0.0
Neisseria animalis	492	species	4477875	618	12	0.0
Neisseria canis	493	species	2569389	365	172	0.0
Neisseria elongata	495	species	2253031	13217	5167	0.00609158
Psychrobacter	497	genus	2875899	10	6	0.0
Thermomicrobium	499	genus	2920744	4	0	0.0
Thermomicrobium roseum	500	species	2920744	8	0	0.0
Kingella kingae	504	species	4021433	238	95	0.0
Alcaligenaceae	506	family	4354306	181	0	0.0
Alcaligenes	507	genus	0	13	0	0.0
Alcaligenes faecalis	511	species	32768163	534	182	0.0
Bordetella	517	genus	4536693	192	1	0.0
Bordetella bronchiseptica	518	species	5231793	625	34	0.0
Bordetella parapertussis	519	species	4836562	205	10	0.0
Bordetella pertussis	520	species	4781978	68	14	0.0
Bordetella avium	521	species	3732255	204	9	0.0
Acidiphilium	522	genus	4088912	7	0	0.0
Acidiphilium cryptum	524	species	3963080	7	0	0.0
Ochrobactrum	528	genus	5205777	5	0	0.0
Ochrobactrum anthropi	529	species	5205777	82	32	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Chromobacterium	535	genus	4751080	158	4	0.0
Chromobacterium violaceum	536	species	4751080	410	23	0.0
Eikenella	538	genus	0	26	0	0.0
Eikenella corrodens	539	species	4651055	44163	29757	0.00336306
Zymomonas	541	genus	3463673	2	0	0.0
Zymomonas mobilis	542	species	3463673	26	14	0.0
Enterobacteriaceae	543	family	10341043	189	6	0.0
Citrobacter	544	genus	5276819	89	17	0.0
Citrobacter koseri	545	species	4735357	171	7	0.0
Citrobacter freundii	546	species	5164552	268	18	0.0
Enterobacter	547	genus	11028548	137	19	0.0
Klebsiella aerogenes	548	species	5435727	218	62	0.0
Pantoea agglomerans	549	species	30133336	193	29	0.0
Enterobacter cloacae	550	species	5356576	397	44	0.0
Erwinia	551	genus	4250482	25	0	0.0
Erwinia amylovora	552	species	3869718	42	0	0.0
Pantoea ananatis	553	species	4838981	108	11	0.0
Pectobacterium carotovorum	554	species	6477254	5	0	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	9726078	46	6	0.0
Dickeya chrysanthemi	556	species	4813854	4	0	0.0
Escherichia	561	genus	8380592	2	0	0.0
Escherichia coli	562	species	8437634	523	96	0.0
Shimwellia blattae	563	species	4158725	64	0	0.0
Escherichia fergusonii	564	species	4643861	49	5	0.0
Atlantibacter hermannii	565	species	13352683	135	4	0.0
Hafnia	568	genus	4712721	4	0	0.0
Hafnia alvei	569	species	4712721	84	17	0.0
Klebsiella	570	genus	12784449	89	3	0.0
Klebsiella oxytoca	571	species	6684898	455	32	0.0
Klebsiella pneumoniae	573	species	14826006	366	54	0.0
Raoultella planticola	575	species	17105658	112	14	0.0
Raoultella terrigena	577	species	6073951	82	22	0.0
Morganella	581	genus	5836016	4	0	0.0
Morganella morganii	582	species	5836016	196	42	0.0
Proteus	583	genus	3973324	7	0	0.0
Proteus mirabilis	584	species	3973324	57	34	0.0
Proteus vulgaris	585	species	16657186	76	14	0.0
Providencia	586	genus	4402109	9	0	0.0
Providencia rettgeri	587	species	36637538	96	15	0.0
