name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	34	24	0.0
Myxococcales	29	order	9638245	40	0	0.0
Myxococcaceae	31	family	9636120	2	0	0.0
Archangiaceae	39	family	10085598	6	0	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Planctomycetales	112	order	5733343	3	0	0.0
Spirochaetales	136	order	1876294	8	0	0.0
Spirochaetaceae	137	family	2749897	7	0	0.0
Leptospiraceae	170	family	5274184	1	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	1	0.0
Rhizobiales	356	order	5410296	57	0	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	3	0	0.0
Acetobacteraceae	433	family	3826783	6	0	0.0
Moraxellaceae	468	family	3943545	2	0	0.0
Neisseriaceae	481	family	2244925	11	0	0.0
Alcaligenaceae	506	family	4354306	11	0	0.0
Enterobacteriaceae	543	family	10341043	13	1	0.0
Vibrionaceae	641	family	5610112	2	0	0.0
Pasteurellaceae	712	family	2528486	16	1	0.0
Cardiobacteriaceae	868	family	1389350	2	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	3	0	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	8	3	0.0
Anaplasmataceae	942	family	1284438	1	0	0.0
Halanaerobiaceae	972	family	2443704	1	0	0.0
Bacteroidetes	976	phylum	3686275	3	0	0.0
Chromatiaceae	1046	family	3825215	2	0	0.0
Cyanobacteria	1117	phylum	4896702	2	0	0.0
Chroococcales	1118	order	5024108	1	0	0.0
Synechococcus elongatus PCC 7942 = FACHB-805	1140	leaf	2742269	1	0	0.0
Nostocales	1161	order	7545001	1	0	0.0
Nostocaceae	1162	family	7936858	1	0	0.0
Proteobacteria	1224	phylum	6582363	88	0	0.0
Gammaproteobacteria	1236	class	8199621	78	2	0.0
Firmicutes	1239	phylum	3951907	25	0	0.0
Micrococcaceae	1268	family	3809026	40	0	0.0
Streptococcaceae	1300	family	2703668	50	0	0.0
Bacillales	1385	order	5092237	21	0	0.0
Listeria	1637	genus	3154985	1	0	0.0
Corynebacteriaceae	1653	family	2732186	25	0	0.0
Actinobacteria	1760	class	5015669	385	105	0.0
Mycobacteriaceae	1762	family	7116636	27	0	0.0
Streptosporangiaceae	2004	family	10369518	8	0	0.0
Thermomonosporaceae	2012	family	5639016	9	0	0.0
Actinomycetales	2037	order	2376616	11	0	0.0
Actinomycetaceae	2049	family	2376616	220	0	0.0
Mobiluncus	2050	genus	2146480	1	0	0.0
Streptomycetaceae	2062	family	9677174	108	0	0.0
Pseudonocardiaceae	2070	family	9441254	59	0	0.0
Sporolactobacillus	2077	genus	0	1	0	0.0
Mycoplasmatales	2085	order	1430664	1	0	0.0
Mycoplasmataceae	2092	family	1430664	5	0	0.0
Acholeplasmataceae	2146	family	1183742	1	0	0.0
Methanobacteriales	2158	order	1865270	1	0	0.0
Methanobacteriaceae	2159	family	1989655	1	0	0.0
Halobacteriales	2235	order	3677006	5	0	0.0
Halobacteriaceae	2236	family	2979478	1	0	0.0
Candidatus Sodalis pierantonius str. SOPE	2342	leaf	4513140	1	0	0.0
Primates	9443	order	0	1	0	0.0
Tomato ringspot virus	12280	species	15485	1	1	0.0
Dactylococcopsis salina PCC 8305	13035	leaf	3781008	1	0	0.0
Micromonosporaceae	28056	family	7309173	26	0	0.0
Alphaproteobacteria	28211	class	3925312	89	0	0.0
Betaproteobacteria	28216	class	5609802	56	0	0.0
Deltaproteobacteria	28221	class	5142330	26	0	0.0
Halomonadaceae	28256	family	919058	3	0	0.0
Caudovirales	28883	order	84759	3	0	0.0
Epsilonproteobacteria	29547	class	2091053	1	0	0.0
Mycoplasma meleagridis	29561	species	644173	1	1	0.0
Bifidobacteriaceae	31953	family	2593741	25	0	0.0
Propionibacteriaceae	31957	family	2827829	65	0	0.0
Mollicutes	31969	class	1398080	8	0	0.0
Veillonellaceae	31977	family	2371811	3	0	0.0
Clostridiaceae	31979	family	4509975	5	0	0.0
Rhodobacteraceae	31989	family	4505216	19	0	0.0
Nitrosomonadales	32003	order	3061161	11	0	0.0
Burkholderia gladioli pv. gladioli	32009	leaf	26034550	13	1	0.0
Methylophilaceae	32011	family	2915241	2	0	0.0
Xanthomonadaceae	32033	family	18116294	9	0	0.0
Chloroflexia	32061	class	5233930	2	0	0.0
Chloroflexales	32064	order	5233930	1	0	0.0
Lactobacillaceae	33958	family	2969763	2	0	0.0
Streptobacillus	34104	genus	1673280	1	0	0.0
Lachnospira eligens	39485	species	2831389	1	0	0.0
Mammalia	40674	class	0	1	0	0.0
Bradyrhizobiaceae	41294	family	6811178	5	0	0.0
Rhodospirillaceae	41295	family	4756441	12	0	0.0
Sphingomonadaceae	41297	family	4220148	12	0	0.0
Rippkaea orientalis PCC 8801	41431	leaf	4787694	1	0	0.0
Halobacteroides	42417	genus	2649255	1	0	0.0
Crocosphaera subtropica ATCC 51142	43989	leaf	5460377	1	0	0.0
Thauera aromatica K172	44139	leaf	3711792	2	0	0.0
Moorella	44260	genus	2628784	1	0	0.0
Hyphomicrobiaceae	45401	family	3812969	2	0	0.0
Pseudobutyrivibrio	46205	genus	0	1	0	0.0
Halocella	46466	genus	0	1	0	0.0
Verrucomicrobiales	48461	order	2664102	1	0	0.0
Flavobacteriaceae	49546	family	3488032	6	1	0.0
Pleurocapsales	52604	order	5265903	4	0	0.0
Polaribacter	52959	genus	0	1	0	0.0
Halanaerobiales	53433	order	2501564	2	0	0.0
Halobacteroidaceae	53434	family	2559425	2	0	0.0
Mycoplasma edwardii	53558	species	832213	5	0	0.0
Pseudomonas amygdali pv. lachrymans	53707	leaf	6009235	2	0	0.0
Oscillatoria acuminata PCC 6304	56110	leaf	7804270	2	2	0.0
Syntrophus aciditrophicus SB	56780	leaf	3179300	1	1	0.0
Fibrobacter succinogenes subsp. succinogenes S85	59374	leaf	7685639	4	0	0.0
Prochlorococcus marinus subsp. pastoris str. CCMP1986	59919	leaf	1657990	2	0	0.0
Nostoc punctiforme PCC 73102	63737	leaf	9059191	1	1	0.0
Xanthomonas oryzae pv. oryzae	64187	leaf	359535539	1	0	0.0
Wolbachia sp. wRi	66084	species	1445873	1	0	0.0
Bacillus clausii KSM-K16	66692	leaf	4303871	1	1	0.0
Thermodesulfobacteria	67799	class	1906882	2	0	0.0
Thermoanaerobacterales	68295	order	2730087	3	0	0.0
Deferribacteres	68337	class	2627038	1	0	0.0
Thermales	68933	order	2498247	12	0	0.0
Thermococcus kodakarensis KOD1	69014	leaf	2088737	1	0	0.0
Desulfuromonadales	69541	order	4166387	15	0	0.0
Hyphomonadaceae	69657	family	3537971	1	0	0.0
Xanthomonas arboricola pv. pruni	69929	leaf	5141998	1	1	0.0
Macrococcus	69965	genus	2219737	1	0	0.0
Waddlia	71666	genus	2131905	1	0	0.0
Pseudomonadales	72274	order	7879796	37	0	0.0
Alteromonadaceae	72275	family	4602231	2	0	0.0
Ectothiorhodospiraceae	72276	family	3152919	5	0	0.0
Helicobacteraceae	72293	family	1745778	1	0	0.0
Campylobacteraceae	72294	family	2414389	3	0	0.0
Elusimicrobia	74152	phylum	1396066	1	0	0.0
Verrucomicrobia	74201	phylum	3223054	1	0	0.0
Prochlorococcus marinus str. MIT 9312	74546	leaf	1709204	1	1	0.0
Frankiaceae	74712	family	7497934	9	0	0.0
Thiomonas intermedia K12	75379	leaf	3462095	5	1	0.0
Oxalobacteraceae	75682	family	4943362	2	0	0.0
Rhodocyclaceae	75787	family	4267117	8	0	0.0
Aromatoleum aromaticum EbN1	76114	leaf	4727255	3	1	0.0
Xanthomonas citri pv. aurantifolii	76802	leaf	20540496	3	1	0.0
Caulobacteraceae	76892	family	4141461	10	0	0.0
Xanthobacter autotrophicus Py2	78245	leaf	5625098	6	2	0.0
Burkholderiales	80840	order	6876513	152	4	0.0
Comamonadaceae	80864	family	5361178	76	11	0.0
Mesoplasma lactucae ATCC 49193	81460	leaf	1674858	1	1	0.0
Leuconostocaceae	81850	family	2480460	2	0	0.0
Enterococcaceae	81852	family	2918008	2	0	0.0
Rhizobiaceae	82115	family	6287308	7	0	0.0
Escherichia coli O157:H7	83334	leaf	128115015	1	0	0.0
Nocardiopsaceae	83676	family	5543981	19	0	0.0
Kineosporiaceae	83778	family	4956672	14	0	0.0
Coriobacteriaceae	84107	family	2115681	10	0	0.0
Cryptobacterium	84162	genus	1617804	2	0	0.0
Aeromonadaceae	84642	family	5684342	4	0	0.0
Acidimicrobiia	84992	class	3494169	1	0	0.0
Acidimicrobiales	84993	order	3494169	6	0	0.0
Rubrobacteria	84995	class	3225748	5	0	0.0
Rubrobacterales	84996	order	3225748	14	0	0.0
Rubrobacteraceae	84997	family	3225748	2	0	0.0
Coriobacteriia	84998	class	2427001	28	0	0.0
Coriobacteriales	84999	order	1903794	42	0	0.0
Sphaerobacterales	85001	order	3993764	2	0	0.0
Micrococcales	85006	order	3827208	191	0	0.0
Corynebacteriales	85007	order	5215365	90	0	0.0
Micromonosporales	85008	order	7309173	2	0	0.0
