name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	25	20	0.0
Pelobacter	18	genus	3953506	1	0	0.0
Shewanella	22	genus	5140018	2	1	0.0
Myxococcales	29	order	9638245	17	0	0.0
Myxococcaceae	31	family	9636120	3	0	0.0
Myxococcus	32	genus	9487953	3	0	0.0
Archangiaceae	39	family	10085598	5	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Melittangium	44	genus	9910441	1	0	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Lysobacter	68	genus	0	4	0	0.0
Caulobacter	75	genus	4238499	4	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Stella	93	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	3	0	0.0
Spirochaetales	136	order	1876294	6	0	0.0
Spirochaetaceae	137	family	2749897	3	0	0.0
Borrelia	138	genus	1176628	1	0	0.0
Spirochaeta	146	genus	2772907	1	0	0.0
Treponema	157	genus	2490077	4	0	0.0
Azospirillum	191	genus	7223069	3	0	0.0
Campylobacter	194	genus	2403822	4	0	0.0
Achromobacter	222	genus	7359146	5	0	0.0
Brucella	234	genus	4039663	1	0	0.0
Thermus	270	genus	2279019	4	0	0.0
Comamonas	283	genus	5461687	2	0	0.0
Pseudomonas	286	genus	9017316	27	4	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	1	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	1	1	0.0
Xanthomonas	338	genus	23419814	3	0	0.0
Rhizobiales	356	order	5410296	47	0	0.0
Bradyrhizobium	374	genus	11894480	4	0	0.0
Rhizobium	379	genus	8184003	4	1	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	1	0	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	1	1	0.0
Methylobacterium	407	genus	7144985	2	0	0.0
Methylococcus	413	genus	3304561	1	0	0.0
Acetobacteraceae	433	family	3826783	6	0	0.0
Neisseriaceae	481	family	2244925	1	0	0.0
Neisseria	482	genus	2223758	11	3	0.0
Alcaligenaceae	506	family	4354306	6	0	0.0
Bordetella	517	genus	4536693	7	0	0.0
Acidiphilium	522	genus	4088912	1	0	0.0
Chromobacterium	535	genus	4751080	3	0	0.0
Eikenella	538	genus	0	2	0	0.0
Enterobacteriaceae	543	family	10341043	6	0	0.0
Citrobacter	544	genus	5276819	2	0	0.0
Enterobacter	547	genus	11028548	4	0	0.0
Erwinia	551	genus	4250482	2	0	0.0
Proteus	583	genus	3973324	1	1	0.0
Serratia	613	genus	5012487	7	0	0.0
Edwardsiella	635	genus	3906392	1	0	0.0
Vibrionaceae	641	family	5610112	1	0	0.0
Aeromonas	642	genus	5822658	4	0	0.0
Vibrio	662	genus	5583206	2	0	0.0
Pasteurellaceae	712	family	2528486	4	0	0.0
Rickettsia	780	genus	1252916	1	0	0.0
Chlamydia	810	genus	1271055	1	0	0.0
Porphyromonas	836	genus	2657841	3	0	0.0
Prevotella	838	genus	3023914	4	0	0.0
Fusobacterium	848	genus	3161642	2	0	0.0
Desulfovibrio	872	genus	3919658	11	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	7	1	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	3	2	0.0
Desulfobulbus	893	genus	0	5	0	0.0
Desulfomicrobium	898	genus	3363015	4	0	0.0
Acidaminococcus	904	genus	2408767	1	0	0.0
Herbaspirillum	963	genus	5363540	5	0	0.0
Selenomonas	970	genus	3100147	5	0	0.0
Bacteroidetes	976	phylum	3686275	2	0	0.0
Erythrobacter	1041	genus	3052398	1	0	0.0
Chromatiaceae	1046	family	3825215	1	0	0.0
Pelodictyon	1099	genus	2691540	1	0	0.0
Cyanobacteria	1117	phylum	4896702	4	0	0.0
Synechococcus	1129	genus	2744871	4	0	0.0
Pseudanabaena	1152	genus	0	1	0	0.0
Nostoc	1177	genus	9602270	1	0	0.0
Proteobacteria	1224	phylum	6582363	54	0	0.0
Gammaproteobacteria	1236	class	8199621	51	0	0.0
Firmicutes	1239	phylum	3951907	16	0	0.0
Leuconostoc	1243	genus	2625372	4	0	0.0
Ruminococcus	1263	genus	4482087	1	0	0.0
Micrococcaceae	1268	family	3809026	15	0	0.0
Micrococcus	1269	genus	4996790	4	0	0.0
Staphylococcus	1279	genus	5162113	1	0	0.0
Deinococcus	1298	genus	4067791	2	0	0.0
Streptococcaceae	1300	family	2703668	4	0	0.0
Streptococcus	1301	genus	2347233	65	13	0.0
Planococcus	1372	genus	3804624	1	0	0.0
Gemella	1378	genus	0	5	0	0.0
Bacillales	1385	order	5092237	18	0	0.0
Bacillus	1386	genus	6141499	8	1	0.0
Clostridium	1485	genus	4654291	6	0	0.0
Desulfotomaculum	1562	genus	3489791	1	0	0.0
Sporosarcina	1569	genus	0	1	0	0.0
Lactobacillus	1578	genus	3009630	1	0	0.0
Listeria	1637	genus	3154985	1	0	0.0
Renibacterium	1645	genus	3155250	1	0	0.0
Erysipelothrix	1647	genus	1770425	4	0	0.0
Corynebacteriaceae	1653	family	2732186	9	0	0.0
Actinomyces	1654	genus	2811991	345	134	0.0
Arthrobacter	1663	genus	0	14	0	0.0
Bifidobacterium	1678	genus	2688194	14	0	0.0
Brevibacterium	1696	genus	0	4	0	0.0
Cellulomonas	1707	genus	3971988	16	0	0.0
Corynebacterium	1716	genus	2732186	21	0	0.0
Eubacterium	1730	genus	0	2	0	0.0
Propionibacterium	1743	genus	2646865	2	0	0.0
