name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	5	5	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcales	29	order	9638245	8	0	0.0
Myxococcus	32	genus	9487953	1	0	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Myxococcus macrosporus	35	species	8973512	2	0	0.0
Cystobacter fuscus	43	species	12349744	3	0	0.0
Archangium gephyra	48	species	12489432	3	0	0.0
Chondromyces crocatus	52	species	11388132	3	0	0.0
Sorangium cellulosum	56	species	13907952	7	2	0.0
Vitreoscilla filiformis	63	species	3787551	2	1	0.0
Lysobacter enzymogenes	69	species	12227539	2	1	0.0
Leptothrix	88	genus	4909403	4	0	0.0
Stella humosa	94	species	5832650	1	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	2	0	0.0
Gemmata	113	genus	0	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	3	3	0.0
Spirochaetaceae	137	family	2749897	3	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Treponema phagedenis	162	species	17151030	7	0	0.0
Leptospira	171	genus	5319704	2	0	0.0
Azospirillum	191	genus	7223069	4	0	0.0
Campylobacter coli	195	species	1776238	1	0	0.0
Campylobacter jejuni	197	species	3124996	5	0	0.0
Campylobacter concisus	199	species	2099413	4	0	0.0
Campylobacter curvus	200	species	1971270	2	0	0.0
Campylobacter showae	204	species	2160580	19	16	0.0
Achromobacter	222	genus	7359146	2	0	0.0
Chryseobacterium balustinum	246	species	4974086	1	1	0.0
Chryseobacterium indoltheticum	254	species	8445673	1	1	0.0
Francisella	262	genus	3767258	1	0	0.0
Paracoccus denitrificans	266	species	5236194	3	0	0.0
Thermus thermophilus	274	species	2214494	3	0	0.0
Comamonas	283	genus	5461687	2	0	0.0
Comamonas testosteroni	285	species	5856025	1	1	0.0
Pseudomonas	286	genus	9017316	6	1	0.0
Pseudomonas aeruginosa	287	species	6798896	11	3	0.0
Burkholderia cepacia	292	species	13565292	7	0	0.0
Brevundimonas diminuta	293	species	3551819	3	0	0.0
Pseudomonas fluorescens	294	species	6604895	6	2	0.0
Pseudomonas mendocina	300	species	5293211	2	0	0.0
Pseudomonas putida	303	species	6160317	1	0	0.0
Ralstonia solanacearum	305	species	5757294	5	1	0.0
Pseudomonas stutzeri	316	species	4548207	2	1	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	1	0.0
Ralstonia pickettii	329	species	5505543	2	0	0.0
Xanthomonas	338	genus	23419814	2	0	0.0
Xanthomonas citri	346	species	27676482	2	0	0.0
Xanthomonas oryzae	347	species	63225372	2	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Azotobacter vinelandii	354	species	5351632	1	0	0.0
Rhizobiales	356	order	5410296	18	0	0.0
Agrobacterium tumefaciens	358	species	7273300	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	2	2	0.0
Rhizobium	379	genus	8184003	2	0	0.0
Sinorhizobium fredii	380	species	6924988	1	1	0.0
